class,r,g,b
shadow,27, 23, 23
water,59, 129, 208
anthro,241, 32, 99
vegetation,73, 172, 132
sand,192, 208, 59
mud,98, 137, 77
gravel,57, 92, 39
boulders,148, 146, 92
snow_ice,136, 140, 140
wrack_peat,35, 173, 150
indeterminate,158, 40, 156
